timestamp,x,y,z
1357599269662,261.0,-1.0,-1.0
1357599270303,261.0,-1.0,-0.0
1357599270515,261.0,-1.0,-1.0
1357599270730,262.0,-1.0,-0.0
1357599270944,262.0,-1.0,-1.0
1357599271585,262.0,-1.0,-0.0
1357599272011,262.0,-1.0,-1.0
1357599272226,262.0,-1.0,-0.0
1357599272439,262.0,-1.0,-1.0
1357599272651,261.0,-1.0,-0.0
1357599273717,261.0,-1.0,-1.0
1357599273932,261.0,-1.0,-0.0
1357599274572,261.0,-1.0,-1.0
1357599274997,261.0,-1.0,-0.0
1357599275212,261.0,-1.0,-1.0
1357599275855,261.0,-1.0,-0.0
1357599276069,261.0,-1.0,-1.0
1357599276283,261.0,-1.0,-0.0
1357599276713,261.0,-1.0,-1.0
1357599276925,261.0,0.0,-1.0
1357599277352,261.0,-1.0,-1.0
1357599279916,261.0,0.0,-1.0
1357599280130,261.0,-1.0,-1.0
1357599282056,261.0,-1.0,-0.0
1357599282270,261.0,-1.0,-1.0
1357599282698,261.0,0.0,-0.0
1357599282912,261.0,-1.0,-1.0
1357599283340,261.0,-1.0,-0.0
1357599283554,261.0,-1.0,-1.0
1357599283768,260.0,-1.0,-1.0
1357599283982,261.0,-1.0,-0.0
1357599284196,261.0,-1.0,-1.0
1357599285904,261.0,-1.0,-0.0
1357599286118,261.0,-1.0,-1.0
1357599287613,261.0,-1.0,-0.0
1357599287827,261.0,-1.0,-1.0
1357599289322,261.0,0.0,-1.0
1357599289750,261.0,-1.0,-1.0
1357599289964,260.0,-1.0,-1.0
1357599290176,260.0,0.0,-1.0
1357599290390,260.0,-1.0,-1.0
1357599290606,261.0,-1.0,-0.0
1357599291033,261.0,-1.0,-1.0
1357599291461,261.0,-1.0,-0.0
1357599292101,261.0,-1.0,-1.0
1357599292529,261.0,-1.0,-0.0
1357599292743,261.0,-1.0,-1.0
1357599295944,261.0,0.0,-1.0
1357599296157,261.0,-1.0,-0.0
1357599296371,261.0,0.0,-1.0
1357599296585,261.0,-1.0,-1.0
1357599297441,261.0,-1.0,-0.0
1357599297655,261.0,-1.0,-1.0
1357599299363,260.0,-1.0,-1.0
1357599299577,261.0,-1.0,-1.0
1357599301299,262.0,-1.0,-1.0
1357599301513,261.0,0.0,-1.0
1357599301727,261.0,-1.0,-1.0
1357599304294,261.0,-1.0,-0.0
1357599304722,261.0,-1.0,-1.0
1357599305580,261.0,0.0,-1.0
1357599306005,261.0,-1.0,-1.0
1357599306862,261.0,-1.0,-0.0
1357599307074,261.0,-1.0,-1.0
1357599307289,261.0,-1.0,-0.0
1357599307502,261.0,-1.0,-1.0
1357599310492,261.0,0.0,-1.0
1357599310707,261.0,-1.0,-1.0
1357599312204,261.0,-1.0,-0.0
1357599312418,261.0,-1.0,-1.0
1357599313700,260.0,0.0,-1.0
1357599313913,260.0,-1.0,-1.0
1357599314341,261.0,-1.0,-1.0
1357599314980,261.0,0.0,-1.0
1357599315192,261.0,-1.0,-1.0
1357599316048,260.0,-1.0,-1.0
1357599316262,260.0,0.0,-1.0
1357599316476,260.0,-1.0,-1.0
1357599316903,261.0,-1.0,-1.0
1357599317333,260.0,0.0,-1.0
1357599318186,260.0,-1.0,-1.0
1357599318826,261.0,-1.0,-1.0
1357599319254,260.0,0.0,-1.0
1357599319896,260.0,-1.0,-1.0
1357599320110,260.0,-1.0,-0.0
1357599320538,260.0,-1.0,-1.0
1357599320751,261.0,-1.0,-1.0
1357599321179,261.0,0.0,-1.0
1357599321393,260.0,0.0,-1.0
1357599322035,260.0,-1.0,-1.0
1357599326740,261.0,-1.0,-1.0
1357599327594,260.0,-1.0,-1.0
1357599330368,260.0,-1.0,-0.0
1357599330795,260.0,-1.0,-1.0
1357599331219,260.0,-1.0,-0.0
1357599331433,260.0,-1.0,-1.0
1357599331647,261.0,-1.0,-1.0
1357599332929,260.0,-1.0,-1.0
1357599334642,260.0,0.0,-1.0
1357599334855,260.0,-1.0,-1.0
1357599335067,260.0,0.0,-1.0
1357599335281,260.0,-1.0,-1.0
1357599335495,260.0,-1.0,-0.0
1357599335710,260.0,-1.0,-1.0
1357599338063,261.0,-1.0,-1.0
1357599339773,260.0,-1.0,-1.0
1357599340630,261.0,-1.0,-1.0
1357599342343,260.0,-1.0,-1.0
1357599342557,260.0,0.0,-1.0
1357599342771,260.0,0.0,-0.0
1357599342985,260.0,0.0,-1.0
1357599343199,260.0,-1.0,-1.0
1357599344268,260.0,-1.0,-0.0
1357599344694,259.0,0.0,-1.0
1357599344907,259.0,-1.0,-1.0
1357599345333,260.0,-1.0,-0.0
1357599345547,260.0,-1.0,-1.0
1357599346189,260.0,-1.0,-0.0
1357599346403,260.0,-1.0,-1.0
1357599347043,261.0,-1.0,-1.0
1357599347472,261.0,-1.0,-0.0
1357599347686,261.0,-1.0,-1.0
1357599348754,261.0,-1.0,-0.0
1357599348968,261.0,-1.0,-1.0
1357599352173,261.0,0.0,-1.0
1357599352601,261.0,-1.0,-1.0
1357599355166,261.0,-1.0,-0.0
1357599355380,261.0,-1.0,-1.0
1357599355594,262.0,-1.0,-1.0
1357599356021,262.0,-1.0,-0.0
1357599356235,262.0,-1.0,-1.0
1357599356663,262.0,0.0,-1.0
1357599356877,261.0,0.0,-1.0
1357599357089,261.0,-1.0,-1.0
1357599358583,262.0,-1.0,-1.0
1357599359226,262.0,0.0,-1.0
1357599359654,261.0,-1.0,-1.0
1357599360507,255.0,3.0,-3.0
1357599360729,268.0,-8.0,-7.0
1357599360940,286.0,-22.0,-0.0
1357599361143,300.0,-36.0,4.0
1357599361375,309.0,-39.0,-0.0
1357599361591,331.0,-40.0,-18.0
1357599361796,322.0,-41.0,-3.0
1357599362028,322.0,-41.0,-6.0
1357599362471,315.0,-40.0,-3.0
1357599362472,310.0,-40.0,-0.0
1357599362654,310.0,-39.0,-1.0
1357599362885,310.0,-40.0,-1.0
1357599363076,310.0,-39.0,-2.0
1357599363296,310.0,-41.0,-3.0
1357599363490,310.0,-39.0,-2.0
1357599363761,310.0,-38.0,-2.0
1357599363942,310.0,-41.0,-1.0
1357599364130,305.0,-36.0,1.0
1357599364338,306.0,-39.0,-0.0
1357599364550,306.0,-38.0,-0.0
1357599364768,306.0,-39.0,-0.0
1357599364974,306.0,-38.0,-0.0
1357599365402,306.0,-38.0,-1.0
1357599365823,306.0,-39.0,-1.0
1357599366034,306.0,-35.0,-1.0
1357599366258,306.0,-37.0,-1.0
1357599366477,306.0,-38.0,-1.0
1357599366680,306.0,-39.0,-1.0
1357599366887,306.0,-38.0,-1.0
1357599367318,306.0,-36.0,-1.0
1357599367545,306.0,-39.0,-1.0
1357599367743,306.0,-38.0,-1.0
1357599368374,310.0,-41.0,-2.0
1357599368601,310.0,-37.0,-1.0
1357599369031,310.0,-38.0,-1.0
1357599369437,309.0,-38.0,-1.0
1357599370302,309.0,-37.0,-1.0
1357599370503,309.0,-38.0,-1.0
1357599370715,308.0,-37.0,-1.0
1357599371566,308.0,-41.0,-2.0
1357599371785,308.0,-36.0,-1.0
1357599372001,308.0,-37.0,-1.0
1357599372207,308.0,-38.0,-1.0
1357599372421,308.0,-37.0,-1.0
1357599372851,308.0,-38.0,-2.0
1357599373701,308.0,-37.0,-1.0
1357599374544,308.0,-38.0,-2.0
1357599374777,308.0,-38.0,-1.0
1357599375214,308.0,-37.0,-1.0
1357599375468,308.0,-38.0,-1.0
1357599375711,308.0,-37.0,-1.0
1357599375951,308.0,-39.0,-1.0
1357599376161,308.0,-41.0,-0.0
1357599376301,308.0,-40.0,-0.0
1357599376551,308.0,-40.0,2.0
1357599376794,308.0,-39.0,-0.0
1357599377521,308.0,-38.0,1.0
1357599377733,307.0,-38.0,-0.0
1357599377946,307.0,-39.0,-0.0
1357599378165,307.0,-38.0,1.0
1357599378382,307.0,-38.0,-0.0
1357599378795,306.0,-38.0,-0.0
1357599379020,306.0,-38.0,1.0
1357599379241,306.0,-38.0,-0.0
1357599379449,306.0,-38.0,1.0
1357599379871,306.0,-38.0,-0.0
1357599380083,306.0,-39.0,-0.0
1357599380361,306.0,-38.0,-0.0
1357599380601,307.0,-39.0,-0.0
1357599381151,306.0,-38.0,1.0
1357599381151,306.0,-37.0,1.0
1357599381164,306.0,-38.0,-0.0
1357599381775,306.0,-39.0,-0.0
